INFO:     Will watch for changes in these directories: ['/workspaces/Predication-Market/backend']
INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
INFO:     Started reloader process [4777] using WatchFiles
INFO:     Started server process [4795]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
✅ Kalshi API key loaded — authenticated access enabled
✅ Kalshi private key loaded — signed requests enabled
⚠️  No Polymarket private key — Polymarket client will be read-only
Kalshi WS: connecting to wss://api.elections.kalshi.com/trade-api/ws/v2 (auth)...
Poly WS: connecting to wss://ws-subscriptions-clob.polymarket.com/ws/market (200 tokens)...
Kalshi WS: connected!
Kalshi WS: subscribed -> {'type': 'subscribed', 'id': 1, 'msg': {'channel': 'trade', 'sid': 1}}
Kalshi WS trade #49: KXNCAAMBGAME-26FEB18NDSUSDST-SDST | yes | count=129.00 | yes=5c
Kalshi WS trade #50: KXNCAAMBGAME-26FEB18UTAHWVU-UTAH | yes | count=9.00 | yes=59c
Kalshi WS trade #51: KXRAINAUSM-26FEB-1 | yes | count=25.00 | yes=10c
Kalshi WS trade #52: KXRAINAUSM-26FEB-1 | yes | count=20.00 | yes=11c
Kalshi WS trade #53: KXNCAAMBGAME-26FEB18NDSUSDST-NDSU | no | count=85.00 | yes=96c
Kalshi WS trade #54: KXNCAABMENTION-26FEB18BYUARIZ-TRAN | yes | count=1.00 | yes=98c
Kalshi WS trade #55: KXATPMATCH-26FEB18GIRRUU-GIR | no | count=163.00 | yes=61c
Kalshi WS trade #56: KXNCAAMBGAME-26FEB18UTAHWVU-UTAH | yes | count=20.00 | yes=59c
Kalshi WS trade #57: KXNCAAMBGAME-26FEB18NDSUSDST-SDST | yes | count=18.00 | yes=5c
Kalshi WS trade #58: KXNCAAMBSPREAD-26FEB18SJUMARQ-SJU9 | yes | count=11.00 | yes=41c
Kalshi WS trade #59: KXATPMATCH-26FEB18GIRRUU-RUU | yes | count=102.00 | yes=40c
Kalshi WS trade #60: KXATPMATCH-26FEB18GIRRUU-GIR | no | count=560.00 | yes=61c
Kalshi WS trade #61: KXNCAAMBGAME-26FEB18CHARTLSA-CHAR | yes | count=39.00 | yes=12c
Kalshi WS trade #62: KXNCAAMBGAME-26FEB18SJUMARQ-MARQ | yes | count=21.00 | yes=21c
Kalshi WS trade #63: KXBERNIEMENTION-26FEB19-TRUM | yes | count=222.00 | yes=96c
Kalshi WS trade #64: KXBERNIEMENTION-26FEB19-TRUM | yes | count=12.00 | yes=96c
Kalshi WS trade #65: KXBERNIEMENTION-26FEB19-TRUM | yes | count=50.00 | yes=96c
Kalshi WS trade #66: KXBERNIEMENTION-26FEB19-TRUM | yes | count=20.00 | yes=96c
Kalshi WS trade #67: KXNCAAMBGAME-26FEB18PEPPPORT-PORT | yes | count=20.00 | yes=76c
Kalshi WS trade #68: KXNCAAMBGAME-26FEB18CHARTLSA-TLSA | no | count=39.00 | yes=89c
Kalshi WS trade #69: KXNCAAMBGAME-26FEB18SJUMARQ-MARQ | yes | count=18.00 | yes=21c
Kalshi WS trade #70: KXATPMATCH-26FEB18GIRRUU-GIR | no | count=150.00 | yes=61c
Kalshi WS trade #71: KXNCAAMBGAME-26FEB18KENNMOSU-MOSU | yes | count=13.00 | yes=35c
Kalshi WS trade #72: KXNCAAMBGAME-26FEB18BYUARIZ-BYU | yes | count=323.00 | yes=19c
Kalshi WS trade #73: KXBTCD-26FEB1822-T66749.99 | yes | count=27.00 | yes=14c
Kalshi WS trade #74: KXATPCHALLENGERMATCH-26FEB19COLTOR-TOR | yes | count=1.00 | yes=96c
Kalshi WS trade #75: KXATPMATCH-26FEB18GIRRUU-RUU | yes | count=212.00 | yes=40c
Kalshi WS trade #76: KXNCAAMBTOTAL-26FEB18PEPPPORT-149 | no | count=765.00 | yes=53c
Kalshi WS trade #77: KXETH15M-26FEB182200-00 | yes | count=10.00 | yes=66c
Kalshi WS trade #78: KXNCAAMBGAME-26FEB18DEPHALL-HALL | yes | count=5.00 | yes=15c
Kalshi WS trade #79: KXATPMATCH-26FEB18GIRRUU-RUU | yes | count=45.00 | yes=40c
Kalshi WS trade #80: KXNCAAMBGAME-26FEB18BYUARIZ-BYU | no | count=26.00 | yes=17c
Kalshi WS trade #81: KXNCAAMBGAME-26FEB18DEPHALL-DEP | yes | count=118.00 | yes=87c
Kalshi WS trade #82: KXNCAAMBGAME-26FEB18DEPHALL-DEP | yes | count=118.00 | yes=87c
Kalshi WS trade #83: KXNCAAMBGAME-26FEB18DEPHALL-DEP | yes | count=118.00 | yes=87c
Kalshi WS trade #84: KXNCAAMBGAME-26FEB18DEPHALL-DEP | yes | count=118.00 | yes=87c
Kalshi WS trade #85: KXNCAAMBGAME-26FEB18DEPHALL-DEP | yes | count=118.00 | yes=87c
Kalshi WS trade #86: KXNCAAMBGAME-26FEB18DEPHALL-DEP | yes | count=50.00 | yes=87c
Kalshi WS trade #87: KXNCAAMBGAME-26FEB18DEPHALL-DEP | yes | count=471.00 | yes=88c
Kalshi WS trade #88: KXNCAAWBGAME-26FEB19LSUMISS-MISS | no | count=5.00 | yes=28c
Poly WS trade #1: asset=85285091029101061598... | BUY | size=3.203 | price=0.999
Kalshi WS trade #89: KXPSAKIMENTION-26FEB19-SHUT | yes | count=93.00 | yes=1c
Kalshi WS trade #90: KXMVESPORTSMULTIGAMEEXTENDED-S2026BD1AB425363-AE7C96FF69C | yes | count=19.00 | yes=10c
Kalshi WS trade #91: KXMVESPORTSMULTIGAMEEXTENDED-S2026BD1AB425363-AE7C96FF69C | yes | count=2.00 | yes=10c
Kalshi WS trade #92: KXATPMATCH-26FEB18GIRRUU-RUU | yes | count=890.00 | yes=40c
Kalshi WS trade #93: KXNCAAMBGAME-26FEB18DEPHALL-HALL | yes | count=50.00 | yes=15c
Kalshi WS trade #94: KXNCAAMBGAME-26FEB18DEPHALL-HALL | yes | count=19.00 | yes=15c
Kalshi WS trade #95: KXNCAAMBGAME-26FEB18DEPHALL-HALL | yes | count=208.00 | yes=16c
Kalshi WS trade #96: KXATPMATCH-26FEB18GIRRUU-RUU | yes | count=206.00 | yes=40c
Kalshi WS trade #97: KXNCAAMBSPREAD-26FEB18BYUARIZ-ARIZ9 | no | count=7.00 | yes=46c
Kalshi WS trade #98: KXNCAAMBGAME-26FEB18UTAHWVU-UTAH | yes | count=16.00 | yes=59c
Kalshi WS trade #99: KXNCAAMBGAME-26FEB18VANMIZZ-MIZZ | yes | count=400.00 | yes=50c
Kalshi WS trade #100: KXNCAAMBSPREAD-26FEB18DEPHALL-DEP4 | yes | count=23.00 | yes=63c
Kalshi WS trade #101: KXPGATOUR-THGI26-HMAT | yes | count=234.00 | yes=4c
Kalshi WS trade #102: KXNCAAMBSPREAD-26FEB18VANMIZZ-VAN11 | yes | count=9.00 | yes=10c
Kalshi WS trade #103: KXNCAAMBTOTAL-26FEB18KENNMOSU-167 | yes | count=3.00 | yes=67c
Kalshi WS trade #104: KXATPMATCH-26FEB18GIRRUU-RUU | yes | count=396.00 | yes=40c
Kalshi WS trade #105: KXATPMATCH-26FEB18GIRRUU-RUU | yes | count=604.00 | yes=41c
Kalshi WS trade #106: KXATPMATCH-26FEB18GIRRUU-RUU | yes | count=57.00 | yes=41c
Kalshi WS trade #107: KXNCAAMBGAME-26FEB18DEPHALL-DEP | yes | count=56.00 | yes=87c
Kalshi WS trade #108: KXATPMATCH-26FEB18GIRRUU-RUU | yes | count=44.00 | yes=41c
Kalshi WS trade #109: KXATPMATCH-26FEB18GIRRUU-RUU | yes | count=102.00 | yes=41c
Kalshi WS trade #110: KXNCAAMBGAME-26FEB18BYUARIZ-BYU | yes | count=476.00 | yes=19c
Kalshi WS trade #111: KXATPMATCH-26FEB18GIRRUU-RUU | yes | count=300.00 | yes=41c
Kalshi WS trade #112: KXBTC15M-26FEB182200-00 | yes | count=4.00 | yes=73c
Kalshi WS trade #113: KXNCAAMBSPREAD-26FEB18SJUMARQ-SJU3 | yes | count=20.00 | yes=83c
